ORIGINAL, REGRESSION, SMOKE
19180,    19180,
19181,    19181,
19182,    19182,
19183,    19183,
19184,    19184,
19185,    19185,
19186,    19186,
19187,    19187,
19188,    19188,
19189,    19189,
19190,    19190,
19191,    19191,
19192,    19192,
19193,    19193,
19194,    19194,
19195,    19195,
19196,    19196,
19197,    19197,
19198,    19198,
19199,    19199,
19200,    19200,
19201,    19201,
19202,    19202,
19203,    19203,
19204,    19204,
19205,    19205,
19224,    19224,
19225,    19225,
19226,    19226,
19227,    19227,
19228,    19228,
19230,    19230,
19231,    19231,
19241,    19241,
19245,    19245,
19246,    19246,
19247,    19247,
19253,    19253,
19325,    19325,
19328,    19328,
19350,    19350,
19351,    19351,
19353,    19353,
19354,    19354,
19355,    19355,
19356,    19356,
19357,    19357,
19358,    19358,
19359,    19359,
19392,    19392,
19393,    19393,
19397,    19397,
19398,    19398,
19400,    19400,
19401,    19401,
19403,    19403,
19405,    19405,
19406,    19406,
19407,    19407,
19408,    19408,
19409,    19409,
19410,    19410,
19413,    19413,
19414,    19414,
19416,    19416,
19417,    19417,
19418,    19418,
19419,    19419,
19420,    19420,
19421,    19421,
19422,    19422,
19423,    19423,
